# Hasimoto simple-cubic correction, a=1.0, L=10
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.72045879
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 4.05000000E-01  1.88691586E-01 -5.63210597E-06  3.57481211E-06 -5.20026318E-03  3.84403105E-05  1.45626800E-05 -7.71193824E-09  3.96168586E-08  1.92980859E-09
 4.10000000E-01  1.88667535E-01 -5.44589672E-06  3.64567397E-06 -4.52181014E-03  3.61639185E-05  1.38093751E-05 -7.41765148E-09  3.61832671E-08  1.91946814E-09
 4.15000000E-01  1.88646622E-01 -5.27076810E-06  3.71283759E-06 -3.93190458E-03  3.40046775E-05  1.30842011E-05 -7.09834878E-09  3.30145415E-08  1.86781878E-09
 4.20000000E-01  1.88628438E-01 -5.10614282E-06  3.77644566E-06 -3.41898707E-03  3.19588679E-05  1.23876243E-05 -6.76316165E-09  3.00971087E-08  1.78682326E-09
 4.25000000E-01  1.88612626E-01 -4.95146300E-06  3.83664234E-06 -2.97300739E-03  3.00225222E-05  1.17198117E-05 -6.41968344E-09  2.74168117E-08  1.68573627E-09
 4.30000000E-01  1.88598875E-01 -4.80619126E-06  3.89357187E-06 -2.58522756E-03  2.81915052E-05  1.10806820E-05 -6.07407070E-09  2.49591494E-08  1.57253331E-09
 4.35000000E-01  1.88586918E-01 -4.66981127E-06  3.94737745E-06 -2.24805044E-03  2.64615790E-05  1.04699532E-05 -5.73084570E-09  2.27093287E-08  1.45329310E-09
 4.40000000E-01  1.88576521E-01 -4.54182819E-06  3.99820040E-06 -1.95487080E-03  2.48284517E-05  9.88717689E-06 -5.39351896E-09  2.06527663E-08  1.33247211E-09
 4.45000000E-01  1.88567479E-01 -4.42176876E-06  4.04617934E-06 -1.69994572E-03  2.32878204E-05  9.33177037E-06 -5.06474408E-09  1.87752287E-08  1.21364611E-09
 4.50000000E-01  1.88559618E-01 -4.30918122E-06  4.09144967E-06 -1.47828211E-03  2.18354105E-05  8.80304540E-06 -4.74646988E-09  1.70630151E-08  1.09981536E-09
 4.55000000E-01  1.88552780E-01 -4.20363520E-06  4.13414309E-06 -1.28553868E-03  2.04670063E-05  8.30023302E-06 -4.44015921E-09  1.55030826E-08  9.93514815E-10
 4.60000000E-01  1.88546834E-01 -4.10472119E-06  4.17438723E-06 -1.11794094E-03  1.91784760E-05  7.82250416E-06 -4.14697144E-09  1.40830458E-08  8.96776393E-10
 4.65000000E-01  1.88541664E-01 -4.01205013E-06  4.21230542E-06 -9.72207093E-04  1.79657915E-05  7.36898761E-06 -3.86774570E-09  1.27911555E-08  8.10975199E-10
 4.70000000E-01  1.88537167E-01 -3.92525288E-06  4.24801657E-06 -8.45483787E-04  1.68250444E-05  6.93878618E-06 -3.60296758E-09  1.16163711E-08  7.36516107E-10
 4.75000000E-01  1.88533257E-01 -3.84397953E-06  4.28163500E-06 -7.35290132E-04  1.57524570E-05  6.53099013E-06 -3.35286073E-09  1.05484698E-08  6.72820678E-10
 4.80000000E-01  1.88529855E-01 -3.76789872E-06  4.31327045E-06 -6.39469087E-04  1.47443911E-05  6.14468773E-06 -3.11743874E-09  9.57802771E-09  6.18800512E-10
 4.85000000E-01  1.88526897E-01 -3.69669692E-06  4.34302814E-06 -5.56145170E-04  1.37973541E-05  5.77897441E-06 -2.89651681E-09  8.69633866E-09  5.73289117E-10
 4.90000000E-01  1.88524325E-01 -3.63007774E-06  4.37100873E-06 -4.83687704E-04  1.29080048E-05  5.43296090E-06 -2.68974635E-09  7.89536660E-09  5.35234513E-10
 4.95000000E-01  1.88522087E-01 -3.56776109E-06  4.39730850E-06 -4.20678858E-04  1.20731567E-05  5.10578015E-06 -2.49666304E-09  7.16770675E-09  5.03754703E-10
 5.00000000E-01  1.88520141E-01 -3.50948242E-06  4.42201945E-06 -3.65885852E-04  1.12897798E-05  4.79659207E-06 -2.31674295E-09  6.50655787E-09  4.78139682E-10
