# Hasimoto simple-cubic correction, a=1.0, L=30
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.90557847
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 3.95000000E-01  1.88842120E-01  8.13219098E-06  2.19385689E-06 -6.86404376E-03 -5.95579614E-06 -6.21506900E-06 -7.63608162E-09 -6.37902325E-09  1.53620902E-08
 4.00000000E-01  1.88810378E-01  8.10323264E-06  2.16345642E-06 -5.96762934E-03 -5.63946995E-06 -5.95176075E-06 -7.12006470E-09 -6.03717447E-09  1.33452726E-08
 4.05000000E-01  1.88782781E-01  8.07582612E-06  2.13435589E-06 -5.18830077E-03 -5.33528857E-06 -5.69535756E-06 -6.61871408E-09 -5.69626461E-09  1.15657869E-08
 4.10000000E-01  1.88758788E-01  8.04991012E-06  2.10652010E-06 -4.51076332E-03 -5.04335746E-06 -5.44607307E-06 -6.13639484E-09 -5.36087517E-09  9.99773681E-09
 4.15000000E-01  1.88737928E-01  8.02542316E-06  2.07991296E-06 -3.92172035E-03 -4.76368885E-06 -5.20407560E-06 -5.67612348E-09 -5.03442171E-09  8.61782892E-09
 4.20000000E-01  1.88719792E-01  8.00230390E-06  2.05449757E-06 -3.40961221E-03 -4.49621478E-06 -4.96949052E-06 -5.23983679E-09 -4.71937517E-09  7.40514062E-09
 4.25000000E-01  1.88704024E-01  7.98049151E-06  2.03023658E-06 -2.96438932E-03 -4.24079908E-06 -4.74240293E-06 -4.82861607E-09 -4.41743915E-09  6.34091034E-09
 4.30000000E-01  1.88690316E-01  7.95992605E-06  2.00709229E-06 -2.57731497E-03 -3.99724807E-06 -4.52286057E-06 -4.44287767E-09 -4.12970803E-09  5.40834109E-09
 4.35000000E-01  1.88678396E-01  7.94054869E-06  1.98502683E-06 -2.24079369E-03 -3.76532018E-06 -4.31087669E-06 -4.08254252E-09 -3.85680168E-09  4.59241014E-09
 4.40000000E-01  1.88668034E-01  7.92230191E-06  1.96400242E-06 -1.94822226E-03 -3.54473457E-06 -4.10643311E-06 -3.74716007E-09 -3.59898139E-09  3.87968735E-09
 4.45000000E-01  1.88659024E-01  7.90512969E-06  1.94398136E-06 -1.69386002E-03 -3.33517863E-06 -3.90948338E-06 -3.43599320E-09 -3.35622612E-09  3.25818536E-09
 4.50000000E-01  1.88651190E-01  7.88897769E-06  1.92492631E-06 -1.47271620E-03 -3.13631452E-06 -3.71995554E-06 -3.14809791E-09 -3.12829577E-09  2.71721505E-09
 4.55000000E-01  1.88644380E-01  7.87379328E-06  1.90680036E-06 -1.28045201E-03 -2.94778510E-06 -3.53775520E-06 -2.88238285E-09 -2.91478639E-09  2.24726447E-09
 4.60000000E-01  1.88638458E-01  7.85952568E-06  1.88956708E-06 -1.11329538E-03 -2.76921892E-06 -3.36276803E-06 -2.63766729E-09 -2.71517982E-09  1.83987444E-09
 4.65000000E-01  1.88633310E-01  7.84612600E-06  1.87319071E-06 -9.67966997E-04 -2.60023469E-06 -3.19486265E-06 -2.41272134E-09 -2.52887466E-09  1.48753047E-09
 4.70000000E-01  1.88628833E-01  7.83354728E-06  1.85763616E-06 -8.41615891E-04 -2.44044506E-06 -3.03389281E-06 -2.20629720E-09 -2.35522119E-09  1.18356242E-09
 4.75000000E-01  1.88624941E-01  7.82174454E-06  1.84286911E-06 -7.31763503E-04 -2.28945990E-06 -2.87969982E-06 -2.01714944E-09 -2.19353657E-09  9.22055770E-10
 4.80000000E-01  1.88621556E-01  7.81067470E-06  1.82885610E-06 -6.36255028E-04 -2.14688908E-06 -2.73211464E-06 -1.84406142E-09 -2.04312651E-09  6.97772494E-10
 4.85000000E-01  1.88618614E-01  7.80029668E-06  1.81556449E-06 -5.53217119E-04 -2.01234485E-06 -2.59095989E-06 -1.68584842E-09 -1.90329587E-09  5.06074807E-10
 4.90000000E-01  1.88616056E-01  7.79057131E-06  1.80296258E-06 -4.81021128E-04 -1.88544398E-06 -2.45605162E-06 -1.54137704E-09 -1.77336098E-09  3.42863636E-10
 4.95000000E-01  1.88613831E-01  7.78146135E-06  1.79101959E-06 -4.18251132E-04 -1.76580946E-06 -2.32720107E-06 -1.40956475E-09 -1.65265729E-09  2.04518381E-10
 5.00000000E-01  1.88611897E-01  7.77293139E-06  1.77970571E-06 -3.63676153E-04 -1.65307228E-06 -2.20421625E-06 -1.28938876E-09 -1.54054665E-09  8.78423557E-11
