# Hasimoto simple-cubic correction, a=1.0, L=40
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.92913295
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 2.70000000E-01  1.96651317E-01  3.74535230E-07  5.59649451E-06 -2.27184010E-01  2.69604513E-05  2.31887720E-05 -1.33251856E-08 -2.15453785E-08 -9.38307731E-08
 2.75000000E-01  1.95600749E-01  5.09587441E-07  5.70660438E-06 -1.97503522E-01  2.67588673E-05  2.10076940E-05 -1.19070177E-08 -4.72058247E-09 -6.64515013E-08
 2.80000000E-01  1.94687433E-01  6.42877818E-07  5.80619015E-06 -1.71700814E-01  2.63205710E-05  1.89781406E-05 -1.05991812E-08  8.03346119E-09 -4.43421626E-08
 2.85000000E-01  1.93893435E-01  7.73384933E-07  5.89600697E-06 -1.49269238E-01  2.56994404E-05  1.70971066E-05 -9.41523251E-09  1.74920260E-08 -2.66427027E-08
 2.90000000E-01  1.93203168E-01  9.00329308E-07  5.97678992E-06 -1.29768336E-01  2.49400805E-05  1.53600662E-05 -8.35858478E-09  2.42984535E-08 -1.26174130E-08
 2.95000000E-01  1.92603079E-01  1.02313131E-06  6.04924765E-06 -1.12815204E-01  2.40792738E-05  1.37613774E-05 -7.42603860E-09  2.89850260E-08 -1.63949985E-09
 3.00000000E-01  1.92081385E-01  1.14137567E-06  6.11405781E-06 -9.80769633E-02  2.31472133E-05  1.22946114E-05 -6.61031417E-09  3.19908179E-08  6.82300406E-09
 3.05000000E-01  1.91627846E-01  1.25478158E-06  6.17186395E-06 -8.52642334E-02  2.21685523E-05  1.09528195E-05 -5.90182593E-09  3.36767617E-08  1.32198697E-08
 3.10000000E-01  1.91233557E-01  1.36317769E-06  6.22327357E-06 -7.41254409E-02  2.11632956E-05  9.72875010E-06 -5.28992078E-09  3.43384778E-08  1.79299676E-08
 3.15000000E-01  1.90890776E-01  1.46648102E-06  6.26885714E-06 -6.44418834E-02  2.01475555E-05  8.61502346E-06 -4.76370005E-09  3.42170388E-08  2.12713400E-08
 3.20000000E-01  1.90592776E-01  1.56467945E-06  6.30914795E-06 -5.60234327E-02  1.91341915E-05  7.60426663E-06 -4.31254996E-09  3.35080731E-08  2.35100239E-08
 3.25000000E-01  1.90333705E-01  1.65781700E-06  6.34464239E-06 -4.87048027E-02  1.81333515E-05  6.68921866E-06 -3.92648073E-09  3.23694541E-08  2.48677661E-08
 3.30000000E-01  1.90108478E-01  1.74598166E-06  6.37580086E-06 -4.23423022E-02  1.71529295E-05  5.86281048E-06 -3.59630997E-09  3.09277848E-08  2.55286532E-08
 3.35000000E-01  1.89912673E-01  1.82929525E-06  6.40304890E-06 -3.68110139E-02  1.61989519E-05  5.11822484E-06 -3.31376641E-09  2.92838425E-08  2.56449064E-08
 3.40000000E-01  1.89742445E-01  1.90790506E-06  6.42677856E-06 -3.20023414E-02  1.52759043E-05  4.44893901E-06 -3.07150125E-09  2.75171487E-08  2.53418183E-08
 3.45000000E-01  1.89594456E-01  1.98197697E-06  6.44735004E-06 -2.78218771E-02  1.43870049E-05  3.84875423E-06 -2.86307559E-09  2.56897871E-08  2.47220250E-08
 3.50000000E-01  1.89465797E-01  2.05168974E-06  6.46509334E-06 -2.41875472E-02  1.35344364E-05  3.31181373E-06 -2.68290259E-09  2.38495927E-08  2.38691508E-08
 3.55000000E-01  1.89353946E-01  2.11723050E-06  6.48031006E-06 -2.10280016E-02  1.27195391E-05  2.83261203E-06 -2.52618672E-09  2.20328242E-08  2.28509102E-08
 3.60000000E-01  1.89256704E-01  2.17879096E-06  6.49327512E-06 -1.82812119E-02  1.19429733E-05  2.40599720E-06 -2.38884279E-09  2.02663619E-08  2.17217612E-08
 3.65000000E-01  1.89172165E-01  2.23656441E-06  6.50423857E-06 -1.58932537E-02  1.12048545E-05  2.02716755E-06 -2.26742211E-09  1.85695447E-08  2.05251355E-08
 3.70000000E-01  1.89098669E-01  2.29074339E-06  6.51342733E-06 -1.38172478E-02  1.05048670E-05  1.69166403E-06 -2.15903699E-09  1.69556934E-08  1.92953403E-08
