# Hasimoto simple-cubic correction, a=1.0, L=20
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.85865860
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 2.70000000E-01  1.96623000E-01  8.73175691E-06  7.27484709E-06 -2.27154973E-01  5.68332981E-05  1.83575474E-05 -8.05695091E-08  4.69355293E-07 -2.40705545E-07
 2.75000000E-01  1.95572551E-01  9.00827074E-06  7.35854125E-06 -1.97482851E-01  5.37399726E-05  1.54430066E-05 -1.14924539E-07  4.33981312E-07 -2.26332631E-07
 2.80000000E-01  1.94659318E-01  9.26923729E-06  7.42846993E-06 -1.71686899E-01  5.06652262E-05  1.28289872E-05 -1.38798360E-07  3.99545385E-07 -2.11839085E-07
 2.85000000E-01  1.93865374E-01  9.51487655E-06  7.48607981E-06 -1.49260738E-01  4.76476256E-05  1.04933890E-05 -1.54336003E-07  3.66465350E-07 -1.97484505E-07
 2.90000000E-01  1.93175135E-01  9.74557067E-06  7.53270776E-06 -1.29764139E-01  4.47157826E-05  8.41465249E-06 -1.63305152E-07  3.35021455E-07 -1.83463375E-07
 2.95000000E-01  1.92575056E-01  9.96181999E-06  7.56958419E-06 -1.12814390E-01  4.18902781E-05  6.57196313E-06 -1.67156911E-07  3.05387981E-07 -1.69917900E-07
 3.00000000E-01  1.92053359E-01  1.01642076E-05  7.59783728E-06 -9.80787743E-02  3.91852551E-05  4.94539928E-06 -1.67077443E-07  2.77658343E-07 -1.56948472E-07
 3.05000000E-01  1.91599804E-01  1.03533713E-05  7.61849786E-06 -8.52680448E-02  3.66097320E-05  3.51603520E-06 -1.64031742E-07  2.51864834E-07 -1.44622226E-07
 3.10000000E-01  1.91205490E-01  1.05299812E-05  7.63250463E-06 -7.41307428E-02  3.41686840E-05  2.26600592E-06 -1.58800589E-07  2.27994230E-07 -1.32980162E-07
 3.15000000E-01  1.90862680E-01  1.06947220E-05  7.64070959E-06 -6.44482601E-02  3.18639283E-05  1.17854249E-06 -1.52011711E-07  2.05999956E-07 -1.22043093E-07
 3.20000000E-01  1.90564645E-01  1.08482797E-05  7.64388365E-06 -5.60305484E-02  2.96948639E-05  2.37986468E-07 -1.44166796E-07  1.85811638E-07 -1.11815683E-07
 3.25000000E-01  1.90305536E-01  1.09913314E-05  7.64272218E-06 -4.87123873E-02  2.76590553E-05 -5.70217818E-07 -1.35663791E-07  1.67343431E-07 -1.02289058E-07
 3.30000000E-01  1.90080270E-01  1.11245371E-05  7.63785058E-06 -4.23501404E-02  2.57526928E-05 -1.25954906E-06 -1.26814499E-07  1.50499500E-07 -9.34452804E-08
 3.35000000E-01  1.89884425E-01  1.12485347E-05  7.62982951E-06 -3.68189360E-02  2.39709834E-05 -1.84244182E-06 -1.17860306E-07  1.35178113E-07 -8.52601184E-08
 3.40000000E-01  1.89714158E-01  1.13639353E-05  7.61916007E-06 -3.20102153E-02  2.23084674E-05 -2.33033170E-06 -1.08985196E-07  1.21274812E-07 -7.77050278E-08
 3.45000000E-01  1.89566128E-01  1.14713214E-05  7.60628868E-06 -2.78296011E-02  2.07592452E-05 -2.73368474E-06 -1.00325839E-07  1.08686078E-07 -7.07492995E-08
 3.50000000E-01  1.89437432E-01  1.15712446E-05  7.59161188E-06 -2.41950454E-02  1.93171848E-05 -3.06205862E-06 -9.19828648E-08  9.73106244E-08 -6.43585218E-08
 3.55000000E-01  1.89325544E-01  1.16642254E-05  7.57548065E-06 -2.10352185E-02  1.79760785E-05 -3.32416700E-06 -8.40267424E-08  8.70501134E-08 -5.84976486E-08
 3.60000000E-01  1.89228266E-01  1.17507530E-05  7.55820454E-06 -1.82881085E-02  1.67297507E-05 -3.52792616E-06 -7.65037473E-08  7.78105145E-08 -5.31318499E-08
 3.65000000E-01  1.89143694E-01  1.18312859E-05  7.54005551E-06 -1.58998047E-02  1.55721435E-05 -3.68050704E-06 -6.94411406E-08  6.95028252E-08 -4.82269065E-08
 3.70000000E-01  1.89070165E-01  1.19062526E-05  7.52127153E-06 -1.38234385E-02  1.44973812E-05 -3.78838818E-06 -6.28513967E-08  6.20434423E-08 -4.37495532E-08
 3.75000000E-01  1.89006240E-01  1.19760525E-05  7.50205989E-06 -1.20182642E-02  1.34998161E-05 -3.85740736E-06 -5.67356298E-08  5.53543385E-08 -3.96677416E-08
 3.80000000E-01  1.88950661E-01  1.20410578E-05  7.48260030E-06 -1.04488583E-02  1.25740600E-05 -3.89281149E-06 -5.10863667E-08  4.93630868E-08 -3.59508478E-08
 3.85000000E-01  1.88902341E-01  1.21016136E-05  7.46304773E-06 -9.08442486E-03  1.17150028E-05 -3.89930428E-06 -4.58897827E-08  4.40027708E-08 -3.25698089E-08
 3.90000000E-01  1.88860330E-01  1.21580411E-05  7.44353498E-06 -7.89819079E-03  1.09178239E-05 -3.88109159E-06 -4.11274989E-08  3.92118194E-08 -2.94972075E-08
 3.95000000E-01  1.88823804E-01  1.22106372E-05  7.42417506E-06 -6.86688022E-03  1.01779946E-05 -3.84192421E-06 -3.67780183E-08  3.49337902E-08 -2.67073048E-08
 4.00000000E-01  1.88792048E-01  1.22596776E-05  7.40506335E-06 -5.97025775E-03  9.49127627E-06 -3.78513815E-06 -3.28178599E-08  3.11170953E-08 -2.41760542E-08
 4.05000000E-01  1.88764438E-01  1.23054172E-05  7.38627962E-06 -5.19073122E-03  8.85371400E-06 -3.71369266E-06 -2.92224159E-08  2.77146560E-08 -2.18811157E-08
 4.10000000E-01  1.88740433E-01  1.23480919E-05  7.36788977E-06 -4.51300646E-03  8.26162730E-06 -3.63020490E-06 -2.59666350E-08  2.46835946E-08 -1.98018072E-08
 4.15000000E-01  1.88719562E-01  1.23879197E-05  7.34994748E-06 -3.92378704E-03  7.71159804E-06 -3.53698184E-06 -2.30256231E-08  2.19850346E-08 -1.79189428E-08
 4.20000000E-01  1.88701417E-01  1.24251027E-05  7.33249561E-06 -3.41151336E-03  7.20045807E-06 -3.43605050E-06 -2.03750765E-08  1.95838482E-08 -1.62147731E-08
 4.25000000E-01  1.88685640E-01  1.24598271E-05  7.31556770E-06 -2.96613573E-03  6.72527586E-06 -3.32918569E-06 -1.79915558E-08  1.74483772E-08 -1.46729474E-08
 4.30000000E-01  1.88671922E-01  1.24922656E-05  7.29918893E-06 -2.57891715E-03  6.28334239E-06 -3.21793584E-06 -1.58526557E-08  1.55501274E-08 -1.32784461E-08
 4.35000000E-01  1.88659996E-01  1.25225774E-05  7.28337737E-06 -2.24226185E-03  5.87215681E-06 -3.10364652E-06 -1.39371201E-08  1.38634823E-08 -1.20174955E-08
 4.40000000E-01  1.88649627E-01  1.25509102E-05  7.26814487E-06 -1.94956616E-03  5.48941263E-06 -2.98748183E-06 -1.22249291E-08  1.23654347E-08 -1.08774836E-08
 4.45000000E-01  1.88640610E-01  1.25774005E-05  7.25349786E-06 -1.69508897E-03  5.13298416E-06 -2.87044362E-06 -1.06973364E-08  1.10353524E-08 -9.84686879E-09
 4.50000000E-01  1.88632771E-01  1.26021743E-05  7.23943825E-06 -1.47383905E-03  4.80091365E-06 -2.75338948E-06 -9.33688682E-09  9.85476726E-09 -8.91511698E-09
 4.55000000E-01  1.88625955E-01  1.26253487E-05  7.22596394E-06 -1.28147708E-03  4.49139900E-06 -2.63704900E-06 -8.12743859E-09  8.80717771E-09 -8.07270424E-09
 4.60000000E-01  1.88620028E-01  1.26470319E-05  7.21306954E-06 -1.11423048E-03  4.20278211E-06 -2.52203907E-06 -7.05420737E-09  7.87780716E-09 -7.31118202E-09
 4.65000000E-01  1.88614875E-01  1.26673243E-05  7.20074687E-06 -9.68819441E-04  3.93353727E-06 -2.40887621E-06 -6.10367595E-09  7.05338582E-09 -6.62301835E-09
 4.70000000E-01  1.88610394E-01  1.26863189E-05  7.18898540E-06 -8.42392505E-04  3.68226029E-06 -2.29798769E-06 -5.26343514E-09  6.32203107E-09 -6.00134847E-09
 4.75000000E-01  1.88606499E-01  1.27041020E-05  7.17777268E-06 -7.32470630E-04  3.44765882E-06 -2.18972234E-06 -4.52210827E-09  5.67316388E-09 -5.43987001E-09
 4.80000000E-01  1.88603111E-01  1.27207538E-05  7.16709473E-06 -6.36898552E-04  3.22854340E-06 -2.08436064E-06 -3.86931945E-09  5.09736520E-09 -4.93281138E-09
 4.85000000E-01  1.88600166E-01  1.27363487E-05  7.15693633E-06 -5.53802486E-04  3.02381926E-06 -1.98212391E-06 -3.29563645E-09  4.58625316E-09 -4.47488306E-09
 4.90000000E-01  1.88597605E-01  1.27509560E-05  7.14728130E-06 -4.81553369E-04  2.83247873E-06 -1.88318204E-06 -2.79249982E-09  4.13239386E-09 -4.06126688E-09
 4.95000000E-01  1.88595377E-01  1.27646400E-05  7.13811275E-06 -4.18734883E-04  2.65359423E-06 -1.78766047E-06 -2.35216526E-09  3.72919959E-09 -3.68760330E-09
 5.00000000E-01  1.88593440E-01  1.27774608E-05  7.12941325E-06 -3.64115682E-04  2.48631169E-06 -1.69564623E-06 -1.96764435E-09  3.37083104E-09 -3.34995948E-09
